"id","created_time","snippet","headline"
1,"2025-06-24T15:02:23Z","Extreme heat is making air pollution worse, scientists say. And President Trump’s regulatory rollbacks could drive air pollution even higher.","Extreme Heat Is Exacerbating Air Pollution, a ‘Double Whammy’ for Health"
2,"2025-10-07T09:37:58Z","Wildfire smoke, lead paint and other environmental toxins are health hazards for animals, too.","How to Protect Your Pets From Pollution"
3,"2025-11-20T10:00:05Z","“There was no warning, no conversation,” said Jane Clougherty, an environmental health scientist, who had a federal grant canceled earlier this year.","She Studied How to Protect Children From Pollution and Heat"
4,"2025-11-14T05:00:12Z","Companies are offering much-needed, but expensive, air purification systems to shelter from the smog in one of the world’s most polluted cities.","An Escape From India’s Air Pollution for Those Who Can Afford It"
5,"2025-11-01T09:01:46Z","Marathon runners consistently finished slower in cities with higher levels of dangerous particles in the air, researchers found.","Take a Deep Breath? How Bad Air Affects Your Marathon Finish Time"
6,"2025-10-21T04:18:27Z","The air quality in India’s capital ranks among the worst in the world, but experts say politics stand in the way of improving it.","Why Diwali Is Also the Start of Air Pollution Season in New Delhi"
7,"2025-10-18T09:00:23Z","The growing availability of low-cost air quality sensors is helping people across the world track air pollution.","People Need Clean Air. To Get It, They Need Clear Data."
8,"2025-10-08T22:45:11Z","Shruthi Mahalingaiah, a Harvard researcher, investigated the fertility risks women face from air pollution. But her grant was canceled.","She Found a Link Between Air Pollution and Infertility"
9,"2025-03-12T21:43:01Z","Lee Zeldin, the E.P.A. administrator, said the agency’s mission was to make it cheaper to buy cars, heat homes and run businesses.","E.P.A. Targets Dozens of Environmental Rules as It Reframes Its Purpose"
10,"2025-08-15T12:25:42Z","Countries failed to bridge wide gaps on whether the world should limit plastic manufacturing and restrict the use of harmful plastic chemicals.","Plastic Pollution Talks Collapse as Oil States Oppose Tough Treaty"
1,"2025-08-16T09:01:52Z","New research outlines how the savvy blue dasher lives happily in storm drains and park ponds others flee.","Meet the Beautiful Dragonfly That Thrives in Your Pollution"
2,"2025-05-23T09:03:24Z","Community groups are fighting an unusual Louisiana law that restricts how they use data from air-quality monitors, saying it violates free speech.","In ‘Cancer Alley,’ a Battle Over Who Gets to Measure Air Pollution"
3,"2025-12-12T06:00:07Z","For hundreds of millions of Indians, toxic winter air poisons bodies, constricts lives and wears down spirits.","India’s Season of Sadness"
4,"2025-08-14T20:10:29Z","After three years of talks, and despite growing warnings about the dangers of plastics pollution, nations are at an impasse again over what to do about it.","Why the World Is Deadlocked Over a Treaty to Stop Plastics Pollution"
5,"2025-10-17T13:20:10Z","Under threats of tariffs and other sanctions from the U.S., nations postponed a vote on whether to charge fees on emissions from ships.","U.S. Pressures Countries to Delay Fees to Clean Up Ship Pollution"
6,"2025-06-25T16:04:09Z","Abandoned coal mines had left waterways acidic and rusty orange. Local residents are cleaning them up, and recovering valuable minerals in the process.","How West Virginia Is Pulling Pollution, and Rare Earths, Out of Its Streams"
7,"2025-10-30T12:15:27Z","Officials experimented with cloud seeding to try and reduce environmental pollutants as residents choke on filthy air.","Delhi Tried to Make It Rain. Here’s Why It Failed."
8,"2025-09-21T13:00:06Z","A small, carefully scaled geoengineering program could compensate for the loss of cooling as we eliminate sulfur pollution.","Turns Out Air Pollution Was Good for Something"
9,"2025-12-26T10:00:13Z","The president exempted a copper smelter in Arizona from air-quality rules. An E.P.A. official guided the company that sought the exemption, emails show.","A Top Source of Lead Pollution Faced Tighter Rules. Then Trump Intervened."
10,"2025-04-02T22:32:03Z","The facility, in Colstrip, Mont., used a new E.P.A. system for requesting special waivers from President Trump.","Coal Plant Ranked as Nation’s Dirtiest Asks for Pollution Exemption"
1,"2025-11-18T12:02:29Z","The Trump administration wants to strip federal protections from wetlands and streams. We explain how it could affect Americans.","Why More Pollution Could Be Coming for Wetlands"
2,"2025-11-01T16:48:41Z","Studies increasingly find links between higher concentrations of certain pollutants and the prevalence of dementia.","What the Air You Breathe May Be Doing to Your Brain"
3,"2025-11-30T10:01:01Z","With little being done to clean the skies over New Delhi, the huge city struggles with toxic air.","India Is a Rising Power, but Breathing in Its Capital Is Hazardous"
4,"2025-03-22T09:02:07Z","The agency will no longer shut down “any stage of energy production,” absent an imminent threat, a new memo says, and will curtail efforts to cut pollution in poorer areas.","E.P.A. Investigations of Severe Pollution Look Increasingly at Risk"
5,"2025-10-07T07:00:05Z","A better understanding of how pollution affects pets could benefit humans and animals alike.","In a Toxic World, Pets Could Be Vital Health Watchdogs"
6,"2025-08-08T09:01:52Z","In its first six months, the Trump administration has filed 11 civil cases against polluters compared with the Biden administration’s 30.","Civil Cases Against Major Polluters Plummet Under Trump"
7,"2025-07-09T17:13:38Z","A new study offers the first estimate of nanoplastic pollution in the ocean. There’s a lot.","Tons of Invisible Plastic Pieces Lurk in Ocean Water"
8,"2025-06-11T22:55:51Z","Lee Zeldin, the E.P.A. administrator, said erasing regulations would produce jobs and lower electricity costs. He called efforts to fight climate change “a cult.”","E.P.A. Axes Biden’s Climate and Pollution Limits on Power Plants"
9,"2025-04-05T17:18:39Z","The Biden-era limits were designed to reduce emissions of toxic pollutants, including a cancer-causing ingredient used in antifreeze and plastics.","Chemical Industry Asks Trump for Exemption From Pollution Limits"
10,"2025-11-14T11:00:17Z","Plus, your Friday news quiz.","A Major New Experiment in Voting, and the World’s Most Polluted Air"
1,"2025-07-04T17:30:58Z","Firework displays can harm animals and create bursts of pollution with lingering effects, but there are ways to mitigate them.","Beyond the Light Show: The Effects of Fireworks on Animals and People"
2,"2025-05-01T19:19:30Z","This week, the House of Representatives voted to block the state’s ban on the sale of new gas-powered vehicles, challenging its rule-making authority.","Can California Set Its Own Air Pollution Rules?"
3,"2025-11-06T19:27:15Z","Nations were poised to approve the first fee on pollution from ships. That’s when the Trump administration began the threats.","Trump Officials Accused of Bullying Tactics to Kill a Climate Measure"
4,"2025-05-10T20:09:07Z","The Trump administration has directed agencies to stop estimating the economic impact of climate change when developing policies and regulations.","What’s the Cost to Society of Pollution? Trump Says Zero."
5,"2025-04-10T22:55:52Z","Authorities say the industry contributes $50 million a year to the city’s tourism economy, but the number of tourist helicopter flights has halved since 2016.","Helicopters Pack New York’s Skies, Despite Years of Noise and Air Pollution Complaints"
6,"2025-08-21T01:00:37Z","Hidden River Cave was once filled with heavy metals and sewage that made the surrounding town smell awful. After a cleanup, it became a tourist draw.","A Miles-Long Cave in Kentucky Was a Smelly Disaster. Now It’s Spectacular."
7,"2025-03-27T13:51:26Z","Referring to a little-known provision, it said power plants and others could write to seek exemptions to mercury and other restrictions and that “the president will make a decision.”","E.P.A. Offers a Way to Avoid Clean-Air Rules: Send an Email"
8,"2025-09-12T09:00:29Z","A Chilean astronomer has become dedicated to battling light pollution in the Atacama Desert and preserve what is considered the best place on Earth to study space.","A Defender of Darkness in the Darkest Place on Earth"
9,"2025-07-23T00:06:01Z","After passing a Dark Sky ordinance to curb light pollution and save energy, Pittsburgh is installing adjustable streetlights.","Why This Pennsylvania City Put Its Streetlights on a Dimmer"
10,"2025-10-22T01:15:10Z","Despite its small stature, the city of Keene, has become an example of the safety and climate benefits of swapping traffic lights for roundabouts.","Cutting Emissions, the Roundabout Way, in New Hampshire"
1,"2025-06-24T18:53:56Z","Scientists are increasingly concerned about the ways extreme heat and air pollution are linked.","How Heat Waves Can Worsen Air Quality"
2,"2024-12-01T17:30:12Z","Talks on the world’s first treaty to tackle plastic pollution will continue in coming months, delegates said.","Nations Fail to Reach an Agreement on Plastic Pollution"
3,"2025-07-29T16:13:20Z","The proposal is President Trump’s most consequential step yet to derail federal climate efforts and appears to represent a shift toward outright denial of the scientific consensus.","In Game-Changing Climate Rollback, E.P.A. Aims to Kill a Bedrock Scientific Finding"
4,"2025-09-18T17:18:33Z","Its chief executive called the E.U. regulations one part of a “very misguided effort to kill oil.” His words followed comments by Trump administration officials criticizing Europe’s climate policies.","Exxon Urges Europe to Repeal Rules to Make Companies Track Climate Pollution"
5,"2024-11-19T16:10:52Z","The government seems powerless to protect its citizens from this annual crisis, let alone prevent it.","Delhi Trudges Through Another Air Pollution Nightmare With No Answers"
6,"2025-09-18T15:35:14Z","Pollution from fires, intensified by rising temperatures, is on track to become one of America’s deadliest climate disasters.","Wildfire Smoke Will Kill Thousands More by 2050, Study Finds"
7,"2025-03-04T22:37:47Z","Since 2008, embassies and other diplomatic posts had been publishing data about local air quality. In many countries, it was the only reliable source of such information.","U.S. State Department Shuts Down Pollution Monitoring Abroad"
8,"2025-09-12T09:02:30Z","The Trump administration is rejecting basic medical knowledge and turning back the clock to an era when people were sicker and died sooner.","Trump’s Policies Are Endangering Your Health"
9,"2025-07-11T05:25:20Z","Unregulated activity led by Chinese enterprises in conflict-ravaged Myanmar is creating an environmental calamity in neighboring Thailand.","The Wartime Mining Boom Exporting Rare Earths, and Toxins"
10,"2024-09-13T13:37:34Z","Recent studies show that certain feather pigments can help neutralize toxic pollution. It means darker, duller birds could have a survival advantage.","The Big City Is Vibrant. Birds There Might Be Getting Less So."
1,"2025-06-29T10:00:11Z","There is a progressive case for people.","Depopulation Is Coming. Don’t Expect It to Solve Our Problems."
